swamp,swampLabel
http://www.wikidata.org/entity/Q34663121,Cypress Creek Bay
http://www.wikidata.org/entity/Q34663179,Cypress Pond
http://www.wikidata.org/entity/Q34663183,Cypress Pond
http://www.wikidata.org/entity/Q34663241,Cypress Swamp
http://www.wikidata.org/entity/Q34663245,Cypress Swamp
http://www.wikidata.org/entity/Q49182993,Dark Bay
http://www.wikidata.org/entity/Q34664334,David Gam Bay
http://www.wikidata.org/entity/Q34664368,Davis Marsh
http://www.wikidata.org/entity/Q34664584,Deaver Bay
http://www.wikidata.org/entity/Q49183140,Devils Nest
http://www.wikidata.org/entity/Q49183157,Devils Woodyard
http://www.wikidata.org/entity/Q49183215,Dickenson Meadow
http://www.wikidata.org/entity/Q49183547,Dismal Bay
http://www.wikidata.org/entity/Q49183548,Dismal Bay
http://www.wikidata.org/entity/Q49183549,Dismal Bay
http://www.wikidata.org/entity/Q49183550,Dismal Bay
http://www.wikidata.org/entity/Q49183569,Ditch Bay
http://www.wikidata.org/entity/Q49183570,Ditch Bay
http://www.wikidata.org/entity/Q49183957,Doehead Bay
http://www.wikidata.org/entity/Q49183964,Doghead Bay
http://www.wikidata.org/entity/Q49183988,Dollisons Swamp
http://www.wikidata.org/entity/Q49184061,Double Branch Bay
http://www.wikidata.org/entity/Q49184063,Double Head Bay
http://www.wikidata.org/entity/Q49184109,Doxeys Salthouse
http://www.wikidata.org/entity/Q49184206,Drinking Pond
http://www.wikidata.org/entity/Q49184273,Drowned Bay
http://www.wikidata.org/entity/Q49184393,Duck Pond Swamp
http://www.wikidata.org/entity/Q49184864,East Dismal Swamp
http://www.wikidata.org/entity/Q49184877,Eb Bay
http://www.wikidata.org/entity/Q49184894,Edwards Pocosin
http://www.wikidata.org/entity/Q49185003,Egypt Swamp
http://www.wikidata.org/entity/Q49185828,Entry Bay
http://www.wikidata.org/entity/Q49186055,Etheridge Swamp
http://www.wikidata.org/entity/Q49186578,Fishpond Swamp
http://www.wikidata.org/entity/Q49187254,Flat Bay
http://www.wikidata.org/entity/Q49187255,Flat Bay
http://www.wikidata.org/entity/Q49187256,Flat Bay
http://www.wikidata.org/entity/Q49187264,Flat Pond
http://www.wikidata.org/entity/Q49187273,Flat Swamp
http://www.wikidata.org/entity/Q49187275,Flat Swamp
http://www.wikidata.org/entity/Q49187277,Flat Swamp
http://www.wikidata.org/entity/Q49187279,Flat Swamp
http://www.wikidata.org/entity/Q34676891,Flowers Swamp
http://www.wikidata.org/entity/Q49188093,Fox Bay
http://www.wikidata.org/entity/Q49188095,Fox Bay
http://www.wikidata.org/entity/Q34678346,Frenchs Creek Swamp
http://www.wikidata.org/entity/Q34678395,Friar Swamp
http://www.wikidata.org/entity/Q34678509,Frog Level Swamp
http://www.wikidata.org/entity/Q49188677,Gabriel Bay
http://www.wikidata.org/entity/Q49188754,Gallberry Bay
http://www.wikidata.org/entity/Q49188984,Gap Bay
http://www.wikidata.org/entity/Q49188985,Gap Bay
http://www.wikidata.org/entity/Q49188994,Gapway Swamp
http://www.wikidata.org/entity/Q49189131,Gaston Swamp
http://www.wikidata.org/entity/Q49189702,Glass Pond
http://www.wikidata.org/entity/Q34684923,Good Luck Bay
http://www.wikidata.org/entity/Q34684936,Goodman Swamp
http://www.wikidata.org/entity/Q34685003,Goose Pond
http://www.wikidata.org/entity/Q34685009,Goose Pond
http://www.wikidata.org/entity/Q34685262,Goshen Swamp
http://www.wikidata.org/entity/Q34685671,Grapevine Marsh
http://www.wikidata.org/entity/Q49190225,Gray Swamp
http://www.wikidata.org/entity/Q49190227,Gray Swamp
http://www.wikidata.org/entity/Q49190228,Grays Bay
http://www.wikidata.org/entity/Q1544257,Great Dismal Swamp
http://www.wikidata.org/entity/Q49190265,Great Marsh
http://www.wikidata.org/entity/Q49190280,Great Sandy Run Pocosin
http://www.wikidata.org/entity/Q49190306,Great Swamp
http://www.wikidata.org/entity/Q49190307,Great Swamp
http://www.wikidata.org/entity/Q49190332,Green Bay
http://www.wikidata.org/entity/Q49190367,Green Swamp
http://www.wikidata.org/entity/Q49190368,Green Swamp
http://www.wikidata.org/entity/Q49190481,Griffie Drain
http://www.wikidata.org/entity/Q49190560,Grindle Pocosin
http://www.wikidata.org/entity/Q49191469,Gully Bay
http://www.wikidata.org/entity/Q34690105,Gum Flat Bay
http://www.wikidata.org/entity/Q34690294,Gum Swamp
http://www.wikidata.org/entity/Q34690304,Gum Swamp
http://www.wikidata.org/entity/Q34690312,Gum Swamp
http://www.wikidata.org/entity/Q34690320,Gum Swamp
http://www.wikidata.org/entity/Q34690328,Gum Swamp
http://www.wikidata.org/entity/Q34690336,Gum Swamp
http://www.wikidata.org/entity/Q34690345,Gum Swamp
http://www.wikidata.org/entity/Q34690371,Gum Swamp Bay
http://www.wikidata.org/entity/Q49192121,Half Moon Pocosin
http://www.wikidata.org/entity/Q49192122,Half Moon Pocosin
http://www.wikidata.org/entity/Q49192139,Hall Pocosin
http://www.wikidata.org/entity/Q49193044,Harrells Bay
http://www.wikidata.org/entity/Q49193059,Harrison Creek Bay
http://www.wikidata.org/entity/Q49193083,Hasket Bay
http://www.wikidata.org/entity/Q49193116,Hatcher Swamp
http://www.wikidata.org/entity/Q49193219,Hattock Bay
http://www.wikidata.org/entity/Q34693688,Hawes Marsh
http://www.wikidata.org/entity/Q34693733,Head o' Bay
http://www.wikidata.org/entity/Q34693740,Head of Chinnis Branch
http://www.wikidata.org/entity/Q34693780,Hearts Delight Pocosin
http://www.wikidata.org/entity/Q49193877,Hell Swamp
http://www.wikidata.org/entity/Q34696794,Hester Bay
http://www.wikidata.org/entity/Q49194723,Hog Bay
http://www.wikidata.org/entity/Q49194737,Hog Island Swamp
http://www.wikidata.org/entity/Q49194756,Hog Swamp
http://www.wikidata.org/entity/Q49194757,Hog Swamp
http://www.wikidata.org/entity/Q49194767,Hoggard Swamp
http://www.wikidata.org/entity/Q49194993,Hollow Ground Swamp
http://www.wikidata.org/entity/Q28455708,Holly Shelter Swamp
http://www.wikidata.org/entity/Q49195244,Holts Pond
http://www.wikidata.org/entity/Q49195353,Honey Bay
http://www.wikidata.org/entity/Q49195361,Honey Island Swamp
http://www.wikidata.org/entity/Q49195365,Honey Pot Swamp
http://www.wikidata.org/entity/Q49195463,Horne Swamp
http://www.wikidata.org/entity/Q49195501,Horse Marsh
http://www.wikidata.org/entity/Q49195506,Horse Pen Bay
http://www.wikidata.org/entity/Q49195512,Horse Swamp
http://www.wikidata.org/entity/Q49195513,Horse Swamp
http://www.wikidata.org/entity/Q49195527,Horsepen Bay
http://www.wikidata.org/entity/Q49195529,Horsepen Bay
http://www.wikidata.org/entity/Q49195533,Horsepen Pocosin
http://www.wikidata.org/entity/Q49195535,Horsepen Pocosin
http://www.wikidata.org/entity/Q49195537,Horsepen Swamp
http://www.wikidata.org/entity/Q49195539,Horseshoe Bay
http://www.wikidata.org/entity/Q49195680,Howard Bay
http://www.wikidata.org/entity/Q49195686,Howell Swamp
http://www.wikidata.org/entity/Q49195703,Huckleberry Bay
http://www.wikidata.org/entity/Q49195711,Huckleberry Pond
http://www.wikidata.org/entity/Q49195725,Huggins Bay
http://www.wikidata.org/entity/Q49195733,Huitt Bay
http://www.wikidata.org/entity/Q49196926,Indian Camp Bay
http://www.wikidata.org/entity/Q49196927,Indian Camp Swamp
http://www.wikidata.org/entity/Q49196950,Indian Swamp
http://www.wikidata.org/entity/Q34704209,Iron Springs Bay
http://www.wikidata.org/entity/Q34704347,Island Branch Swamp
http://www.wikidata.org/entity/Q34704396,Island Swamp
http://www.wikidata.org/entity/Q49197147,J and W Dismal Swamp
http://www.wikidata.org/entity/Q49197184,Jackson Bay
http://www.wikidata.org/entity/Q49197195,Jackson Swamp
http://www.wikidata.org/entity/Q49197197,Jacob Bay
http://www.wikidata.org/entity/Q49197198,Jacob Swamp
http://www.wikidata.org/entity/Q34705392,Jeanette Sedge
http://www.wikidata.org/entity/Q34705588,Jennette Sedge
http://www.wikidata.org/entity/Q34705619,Jenrette Bay
http://www.wikidata.org/entity/Q34706428,Jim Bay
http://www.wikidata.org/entity/Q49197464,Johns Swamp
http://www.wikidata.org/entity/Q49197487,Johnson Mill Bay
http://www.wikidata.org/entity/Q49197491,Johnson Pond
http://www.wikidata.org/entity/Q49197606,Jones Lake Bay
http://www.wikidata.org/entity/Q49197608,Jones Pocosin
http://www.wikidata.org/entity/Q49197620,Jones Swamps
http://www.wikidata.org/entity/Q49197879,Judith Marsh
http://www.wikidata.org/entity/Q49197912,Juniper Bay
http://www.wikidata.org/entity/Q49197915,Juniper Bay
http://www.wikidata.org/entity/Q49197917,Juniper Bay
http://www.wikidata.org/entity/Q49197919,Juniper Bay
http://www.wikidata.org/entity/Q49197925,Juniper Pond
http://www.wikidata.org/entity/Q49197931,Juniper Swamp
http://www.wikidata.org/entity/Q49197933,Juniper Swamp
http://www.wikidata.org/entity/Q49199392,Keeter Bay
http://www.wikidata.org/entity/Q49199401,Keith Bay
http://www.wikidata.org/entity/Q49199410,Kelly Swamp
http://www.wikidata.org/entity/Q49199421,Kerr Marsh
http://www.wikidata.org/entity/Q49199574,King Point Marsh
http://www.wikidata.org/entity/Q49199581,King Swamp
http://www.wikidata.org/entity/Q49199592,Kings Bay
http://www.wikidata.org/entity/Q34721217,Lake Myra
http://www.wikidata.org/entity/Q34721274,Lake Swamp
http://www.wikidata.org/entity/Q34721318,Lakes Pocosin
http://www.wikidata.org/entity/Q34721454,Lamberts Bay
http://www.wikidata.org/entity/Q34721505,Lamms Pond
http://www.wikidata.org/entity/Q49205407,Lassiter Swamp
http://www.wikidata.org/entity/Q49205523,Laurel Swamp
http://www.wikidata.org/entity/Q49205617,Lee Hugh Bay
http://www.wikidata.org/entity/Q49205620,Lee Lake
http://www.wikidata.org/entity/Q49206016,Lewis Lake
http://www.wikidata.org/entity/Q49206168,Light Ground Pocosin
http://www.wikidata.org/entity/Q49206169,Light Swamp
http://www.wikidata.org/entity/Q34732020,Little Alligator Swamp
http://www.wikidata.org/entity/Q34732049,Little Bluff Swamp
http://www.wikidata.org/entity/Q34732120,Little Colly Bay
http://www.wikidata.org/entity/Q34732170,Little Dismal Swamp
http://www.wikidata.org/entity/Q34732188,Little Gallberry Bay
http://www.wikidata.org/entity/Q34732233,Little Green Swamp
http://www.wikidata.org/entity/Q34732301,Little Hog Swamp
http://www.wikidata.org/entity/Q34732314,Little Horseshoe Bay
http://www.wikidata.org/entity/Q34732323,Little Juniper Bay
http://www.wikidata.org/entity/Q34732518,Little Swamp
http://www.wikidata.org/entity/Q49207346,Log Pine Bay
http://www.wikidata.org/entity/Q49207877,Long Bay
http://www.wikidata.org/entity/Q49207880,Long Bay
http://www.wikidata.org/entity/Q49207881,Long Bay
http://www.wikidata.org/entity/Q49207885,Long Bay
http://www.wikidata.org/entity/Q49207892,Long Bays
http://www.wikidata.org/entity/Q49207952,Long Marsh
http://www.wikidata.org/entity/Q49208496,Lucas Mill Creek Swamp
http://www.wikidata.org/entity/Q49209059,Lyon Swamp
http://www.wikidata.org/entity/Q34735747,MacDonald Swamp
http://www.wikidata.org/entity/Q34736579,Maple Bay
http://www.wikidata.org/entity/Q34736628,Maple Swamp
http://www.wikidata.org/entity/Q34737649,Mark Pine Bay
http://www.wikidata.org/entity/Q34737814,Marry Branch Bay
http://www.wikidata.org/entity/Q34737832,Marsh Bay
http://www.wikidata.org/entity/Q34737856,Marshall Bay
http://www.wikidata.org/entity/Q34738052,Mashoes Marsh
http://www.wikidata.org/entity/Q49209718,Mathis Pond
http://www.wikidata.org/entity/Q34738875,McCall Swamp
http://www.wikidata.org/entity/Q34738911,McColskey Bay
http://www.wikidata.org/entity/Q34739054,Meadow Bay
http://www.wikidata.org/entity/Q34739080,Meares Bay
http://www.wikidata.org/entity/Q34739086,Meares Bay
http://www.wikidata.org/entity/Q34741699,Middle Marshes
http://www.wikidata.org/entity/Q34741708,Middle Swamp
http://www.wikidata.org/entity/Q34741716,Middle Swamp
http://www.wikidata.org/entity/Q49209894,Mill Bay
http://www.wikidata.org/entity/Q49209896,Mill Bay
http://www.wikidata.org/entity/Q49209913,Mill Pond
http://www.wikidata.org/entity/Q49209922,Mill Swamp
http://www.wikidata.org/entity/Q49209924,Mill Swamp
http://www.wikidata.org/entity/Q49209925,Mill Swamp
http://www.wikidata.org/entity/Q49209953,Millpond Bay
http://www.wikidata.org/entity/Q49210653,Moore Swamp
http://www.wikidata.org/entity/Q49210693,Morgan Swamp
http://www.wikidata.org/entity/Q34745258,Murphy Bay
http://www.wikidata.org/entity/Q34745273,Murphy Swamp
http://www.wikidata.org/entity/Q49212895,New Lake
http://www.wikidata.org/entity/Q49212919,Newport Marshes
http://www.wikidata.org/entity/Q49213186,No Ache
http://www.wikidata.org/entity/Q49213194,Nobels Millpond
http://www.wikidata.org/entity/Q49213867,North River Marsh
http://www.wikidata.org/entity/Q49214097,Oaky Swamp
http://www.wikidata.org/entity/Q49214195,Odom Bay
http://www.wikidata.org/entity/Q49214646,Old Field Swamp
http://www.wikidata.org/entity/Q49214724,Olin Tatum Millpond Bay
http://www.wikidata.org/entity/Q49214836,One Thousand Marshes
http://www.wikidata.org/entity/Q34759881,Otter Slide Bay
http://www.wikidata.org/entity/Q49215114,Pagett Bay
http://www.wikidata.org/entity/Q49215262,Pantego Swamp
http://www.wikidata.org/entity/Q49215270,Panther Bay
http://www.wikidata.org/entity/Q49215273,Panther Bay
http://www.wikidata.org/entity/Q49215304,Paris Millpond
http://www.wikidata.org/entity/Q49215350,Pasture Branch Swamp
http://www.wikidata.org/entity/Q49216033,Pell Mell Pocosin
http://www.wikidata.org/entity/Q49216065,Penderdam Bay
http://www.wikidata.org/entity/Q49216319,Peters Creek Bay
http://www.wikidata.org/entity/Q49216325,Peters Swamp
http://www.wikidata.org/entity/Q49216427,Pigeon Bay
http://www.wikidata.org/entity/Q49216507,Pine Log Bay
http://www.wikidata.org/entity/Q49216512,Pine Log Swamp
http://www.wikidata.org/entity/Q49216588,Pinks Bay
http://www.wikidata.org/entity/Q34763935,Providence Swamp (historical)
http://www.wikidata.org/entity/Q49217980,Quinine Swamp
http://www.wikidata.org/entity/Q34764953,Raccoon Swamp
http://www.wikidata.org/entity/Q34764959,Raccoon Swamp
http://www.wikidata.org/entity/Q34765087,Rafe Bay
http://www.wikidata.org/entity/Q34765326,Rake Shin Bay
http://www.wikidata.org/entity/Q49218048,Rattlesnake Bay
http://www.wikidata.org/entity/Q34766198,Rattlesnake Swamp
http://www.wikidata.org/entity/Q34767755,Raven Bay
http://www.wikidata.org/entity/Q34767884,Ready Bay
http://www.wikidata.org/entity/Q34767893,Ready Branch Opening
http://www.wikidata.org/entity/Q34767900,Ready Branch Opening
http://www.wikidata.org/entity/Q34767959,Red Hill Swamp
http://www.wikidata.org/entity/Q34767983,Red Pond
http://www.wikidata.org/entity/Q49218066,Redding Bay
http://www.wikidata.org/entity/Q49218076,Redwater Bay
http://www.wikidata.org/entity/Q49218086,Reed Marsh
http://www.wikidata.org/entity/Q49218101,Reedy Branch
http://www.wikidata.org/entity/Q49218102,Reedy Branch Bay
http://www.wikidata.org/entity/Q49218113,Reedy Pocosin
http://www.wikidata.org/entity/Q49218116,Reedys Swamp
http://www.wikidata.org/entity/Q49218601,Rhodes Bay
http://www.wikidata.org/entity/Q49218631,Rice Pond Bay
http://www.wikidata.org/entity/Q49218634,Rices Pocosin
http://www.wikidata.org/entity/Q49218652,Ridgepole Swamp
http://www.wikidata.org/entity/Q49218907,River Swamp
http://www.wikidata.org/entity/Q49218908,River Swamp
http://www.wikidata.org/entity/Q49218910,River Swamp
http://www.wikidata.org/entity/Q41643712,Roanoke Marsh
http://www.wikidata.org/entity/Q49218937,Roanoke Marsh
http://www.wikidata.org/entity/Q49218960,Robertsons Pond
http://www.wikidata.org/entity/Q49218965,Robin Bay
http://www.wikidata.org/entity/Q49219020,Rogers Bay
http://www.wikidata.org/entity/Q49219185,Rollins Bay
http://www.wikidata.org/entity/Q49219303,Roquist Pocosin
http://www.wikidata.org/entity/Q49219477,Round Pond
http://www.wikidata.org/entity/Q49219478,Round Pond
http://www.wikidata.org/entity/Q49219485,Round Pond Bay
http://www.wikidata.org/entity/Q49219514,Rowan Swamp
http://www.wikidata.org/entity/Q49219607,Rumley Marsh
http://www.wikidata.org/entity/Q49219614,Run of Swamp
http://www.wikidata.org/entity/Q49220742,Saddletree Swamp
http://www.wikidata.org/entity/Q49221246,Salters Lake Bay
http://www.wikidata.org/entity/Q49221383,Sand Hill Bay
http://www.wikidata.org/entity/Q49221385,Sand Hill Bay
http://www.wikidata.org/entity/Q49221395,Sand Pit Bay
http://www.wikidata.org/entity/Q49221633,Sandy Fork Bay
http://www.wikidata.org/entity/Q49221737,Sasspan Bay
http://www.wikidata.org/entity/Q49222015,Sawhorn Bay
http://www.wikidata.org/entity/Q49222017,Sawmill Bay
http://www.wikidata.org/entity/Q49222044,Schoolhouse Bay
http://www.wikidata.org/entity/Q49222059,Scoggin Bay
http://www.wikidata.org/entity/Q49222074,Scotts Mill Branch
http://www.wikidata.org/entity/Q49222538,Sewell Bay
http://www.wikidata.org/entity/Q49222539,Sewell Bay
http://www.wikidata.org/entity/Q49222551,Shaky Bay
http://www.wikidata.org/entity/Q49222565,Shanty Bay
http://www.wikidata.org/entity/Q49222591,Sheephead Marsh
http://www.wikidata.org/entity/Q49222595,Shelley Bay
http://www.wikidata.org/entity/Q49222621,Shingletree Bay
http://www.wikidata.org/entity/Q49222887,Simmons Bay
http://www.wikidata.org/entity/Q49222893,Simmons Mill Pond
http://www.wikidata.org/entity/Q49222920,Sims Pond Bay
http://www.wikidata.org/entity/Q49222937,Singed Pig Bay
http://www.wikidata.org/entity/Q49222940,Singletary Swamp
http://www.wikidata.org/entity/Q49222942,Singletons Bay
http://www.wikidata.org/entity/Q49226440,Slap Swamp
http://www.wikidata.org/entity/Q49226510,Slender Bay
http://www.wikidata.org/entity/Q49226791,Sloans Bay
http://www.wikidata.org/entity/Q49227152,Smith Bay
http://www.wikidata.org/entity/Q49227180,Smiths Mill Bay
http://www.wikidata.org/entity/Q49228071,Snows Marsh
http://www.wikidata.org/entity/Q49228387,Soldier Bay
